"clustid" "x1" "x2" "x3" "y" "inclusion" "g"
"2725" 2706 0 0 0 0 TRUE "b"
"2726" 2706 553.763529768087 27.083098358948 13 654.655414581299 TRUE "b"
"2831" 2820 0 0 1 0 TRUE NA
"2832" 2820 0 31.7999999523163 8 510.50227355957 TRUE NA
"2836" 2823 465.518709188092 20.891666730245 12 465.518707275391 TRUE "b"
"2837" 2823 371.843503897033 22.1800001144409 10 417.921993255615 TRUE "b"
"2923" 2891 305.456357173124 35.1444435119629 9 529.979457855225 TRUE "b"
"2924" 2891 520.01431255043 33.5777778625488 9 520.014316558838 TRUE "b"
"2925" 2891 572.669635733243 29.1312499046326 16 811.788234710693 TRUE "b"
"2926" 2891 409.830542149899 29.522221883138 9 463.504512786865 TRUE "b"
"2943" 2897 387.634719083473 21.3727272207087 11 412.868091583252 TRUE NA
"2944" 2897 35.1359568690073 7.68000011444092 5 65.5547289848328 TRUE NA
"2945" 2897 198.53650965288 18.8500000635783 6 198.536510467529 TRUE NA
"2946" 2897 351.57018154286 19.0699998855591 10 351.570180892944 TRUE NA
"2949" 2901 416.603579439157 27.4000000953674 8 416.603580474854 TRUE "b"
"2950" 2901 419.347354839473 25.5333334604899 9 419.347358703613 TRUE "b"
"2972" 2916 38.8856087290583 17.5559973542813 8 252.122131347656 TRUE "b"
"2973" 2916 86.8225813244708 22.5999994277954 2 86.8225784301758 TRUE "b"
"2974" 2916 0 12.5 1 25.2713661193848 TRUE "b"
"2975" 2916 347.341519493656 27.1428568703788 7 347.341522216797 TRUE "b"
"3023" 3014 0 19.983333269755 6 198.016641616821 TRUE NA
"3024" 3014 0 23.8999996185303 4 184.777799606323 TRUE NA
"3025" 3014 0 31.0571428026472 7 395.194900512695 TRUE NA
"3026" 3014 0 28.8399997711182 10 597.552452087402 TRUE NA
"3046" 3026 0 31.1666666666667 12 761.84593963623 TRUE NA
"3047" 3026 0 30.6000001907349 10 577.519985198975 TRUE NA
"3174" 3106 35.2047879973093 18.8799999237061 5 171.403205871582 TRUE NA
"3175" 3106 0 16.4800001144409 5 129.690395355225 TRUE NA
"3184" 3134 0 30.5699522774244 11 736.179145812988 TRUE "b"
"3185" 3134 91.6274055696454 39.3181818181818 11 909.005638122559 TRUE "b"
"3186" 3134 136.269748868172 35.7222222222222 9 624.874336242676 TRUE "b"
"3187" 3134 0 16.875 4 120.604469299316 TRUE "b"
"3340" 3282 33.2796835611589 25.7373647307813 4 200.019527435303 TRUE NA
"3341" 3282 411.89915385088 31.9889023643671 12 825.671535491943 TRUE NA
"3342" 3282 298.870671315901 20.928571496691 14 535.416650772095 TRUE NA
"3343" 3282 0 22.5928570883615 14 589.531314849854 TRUE NA
"3964" 3812 538.958782904794 34.6573279940892 12 753.707496643066 TRUE "b"
"3965" 3812 16.8538380268956 18.5 4 138.537008285522 TRUE "b"
"3966" 3812 326.874711430738 32.0663040949321 9 569.574348449707 TRUE "b"
"3967" 3812 123.981845456768 22.1000000635783 6 250.270185470581 TRUE "b"
"4037" 3859 0 12.760000038147 5 111.601531982422 TRUE "b"
"4038" 3859 279.591189180128 22.6916667620341 12 503.139636993408 TRUE "b"
"4039" 3859 246.278522797554 23.0222223069933 9 372.604160308838 TRUE "b"
"4040" 3859 44.4312334457877 27.3333333333333 12 613.444869995117 TRUE "b"
"4117" 3916 17.5781952780228 12.4333330790202 3 62.6027641296387 TRUE NA
"4118" 3916 81.1615643942905 17.4333333969116 3 93.7403955459595 TRUE NA
"4333" 4095 552.069605633371 23.6916669209798 12 552.069610595703 TRUE NA
"4334" 4095 0 23.2253817627461 9 525.48867225647 TRUE NA
"4335" 4095 710.115192831418 24.8006152218194 15 710.11519241333 TRUE NA
"4336" 4095 340.049151965316 31.2358500327017 12 643.4778175354 TRUE NA
"4519" 4289 50.6014480229896 31.3688003602437 13 888.779490470886 TRUE "a"
"4520" 4289 0 12.2999998728434 3 52.1927356719971 TRUE "a"
"4521" 4289 174.515468114498 19.3999998910087 7 260.064571380615 TRUE "a"
"4522" 4289 60.0208063222462 9.75999994277954 5 75.8573789596558 TRUE "a"
"4569" 4308 11.9740704835546 5.69999980926514 1 11.9740705490112 TRUE "a"
"4570" 4308 0 0 0 0 TRUE "a"
"4571" 4308 41.0836159438775 10.5 3 60.9242134094238 TRUE "a"
"4579" 4314 324.915713315674 30.5487878478221 5 324.915710449219 TRUE NA
"4580" 4314 207.481738043674 26.5985951608797 3 207.481742858887 TRUE NA
"4581" 4314 461.152331698263 29.1999998092651 10 523.470333099365 TRUE NA
"4582" 4314 531.646901699676 33.7000004695012 13 769.809852600098 TRUE NA
"4735" 4418 191.817386958467 22.1727274114435 11 461.193212509155 TRUE "b"
"4736" 4418 480.562737257355 34.3076928945688 13 794.237426757812 TRUE "b"
"4737" 4418 0 35.4611107508341 18 1242.72351837158 TRUE "b"
"4738" 4418 360.794291336135 29.3777775234646 9 464.640584945679 TRUE "b"
"4765" 4438 38.0486572277832 21.4240695763963 10 453.273936271667 TRUE NA
"4766" 4438 143.885483377398 19.6000000635783 6 211.829395294189 TRUE NA
"4767" 4438 34.1764440120114 13.4999998807907 8 187.143430709839 TRUE NA
"4768" 4438 61.0562829882593 8.31666660308838 6 90.7958917617798 TRUE NA
"4886" 4563 77.3578384582809 23.3096798816085 9 438.034561157227 TRUE NA
"4887" 4563 531.581193332614 18.5999998728434 15 531.581201553345 TRUE NA
"4888" 4563 133.88989910136 26.1120579490588 10 537.736663818359 TRUE NA
"4984" 4653 586.411002223872 28.1090908050537 11 586.411003112793 TRUE NA
"5183" 4834 0 28.4799999237061 5 270.550868988037 TRUE NA
"5184" 4835 0 14.1899668055702 17 564.436567306519 TRUE "b"
"5210" 4846 0 12.2999999523163 4 76.870888710022 TRUE NA
"5211" 4846 93.1351917530851 30.4499996185303 10 552.431694030762 TRUE NA
"5212" 4846 0 25.8166669209798 6 279.85640335083 TRUE NA
"5213" 4846 0 15.7000001271566 6 170.214668273926 TRUE NA
"5323" 4947 0 32.760000038147 10 637.764392852783 TRUE "a"
"5324" 4947 0 35.5428570338658 7 487.776485443115 TRUE "a"
"5325" 4947 302.289267880989 38.4200004577637 5 302.289264678955 TRUE "a"
"5326" 4947 0 35.2000001271566 6 431.218292236328 TRUE "a"
"5347" 4956 0 26.3939037771882 6 293.084146499634 TRUE NA
"5348" 4956 0 32.8492812744967 8 683.489673614502 TRUE NA
"5349" 4956 120.78624838101 20.561708023853 3 120.786247253418 TRUE NA
"5350" 4956 0 21.9200000762939 5 217.921550750732 TRUE NA
"5437" 5074 895.459708789135 27.25731832244 17 895.459701538086 TRUE NA
"5438" 5074 180.019562131176 25.1495220384246 6 313.15389919281 TRUE NA
"5439" 5074 0 28.2229589398563 4 256.543720245361 TRUE NA
"5440" 5074 0 19.0717061425064 9 428.550716400146 TRUE NA
"5857" 5450 98.3140981378087 27.8000001907349 3 98.3140983581543 TRUE "b"
"5858" 5450 199.876646223306 26.4285717010498 7 330.802829742432 TRUE "b"
"5859" 5450 0 12.4857142312186 7 153.200555801392 TRUE "b"
"5885" 5461 147.592332544571 20.9142857960292 14 539.863622665405 TRUE NA
"5886" 5461 0 19.8444442749023 9 331.026962280273 TRUE NA
"5887" 5461 335.624383969973 16.0636363462968 11 335.624382019043 TRUE NA
"5888" 5461 0 20.483333269755 6 228.998847961426 TRUE NA
"6123" 5668 436.618093990223 40.598680891737 16 1316.42950439453 TRUE "a"
"6124" 5668 57.6596901095809 40.7625000476837 16 1202.78092193604 TRUE "a"
"6125" 5668 512.024999932238 35.2999997138977 8 512.024997711182 TRUE "a"
"6126" 5668 304.747156002594 35.7399998982747 15 978.822269439697 TRUE "a"
"6420" 5934 0 29.6571429116385 7 387.638900756836 TRUE "a"
"6421" 5934 35.0143145452932 32.037499666214 8 519.430767059326 TRUE "a"
"6459" 5953 0 28.9433993649841 3 255.490356445312 TRUE "b"
"6460" 5953 453.065970265866 30.7479121085542 9 502.556949615479 TRUE "b"
"6461" 5953 0 29.3000003269741 7 383.207977294922 TRUE "b"
"6619" 6157 351.758817126808 26.0195380858516 8 467.136211395264 TRUE "b"
"6620" 6157 303.896111878286 30.5083333651225 12 618.344440460205 TRUE "b"
"6621" 6157 56.5761200609995 22.0333334604899 12 456.691976547241 TRUE "b"
"6622" 6157 0 35.4333330790202 6 323.64476776123 TRUE "b"
"6802" 6324 196.397601434771 24.2431677048435 4 196.397598266602 TRUE NA
"6803" 6324 243.073461361523 28.7571427481515 7 349.426597595215 TRUE NA
"6804" 6324 470.766451359052 27.3999998304579 9 470.766445159912 TRUE NA
"6805" 6324 514.853729980343 34.5125007629395 8 514.853733062744 TRUE NA
"6999" 6563 0 0 1 0 TRUE NA
"7000" 6563 47.4575290892726 35.2999992370605 3 159.145122528076 TRUE NA
"7001" 6563 0 21.7749998569489 4 153.133058547974 TRUE NA
"7004" 6567 0 25.5706407097345 4 152.196914672852 TRUE NA
"7005" 6567 147.415359900038 21.5874997377396 8 315.920680999756 TRUE NA
"7006" 6567 227.541499054813 23.6999999455043 7 308.235330581665 TRUE NA
"7428" 6946 0 12.0960899025869 9 208.918502807617 TRUE "a"
"7429" 6946 140.198918619501 24.9199998855591 15 667.325839996338 TRUE "a"
"7430" 6946 126.672702197145 25.0478201398008 4 276.789330482483 TRUE "a"
"7431" 6946 22.1124325215474 25.2666664123535 3 152.570676803589 TRUE "a"
"7517" 7012 493.589650268695 25.9212387920191 10 493.589645385742 TRUE "a"
"7518" 7012 0 0 0 0 TRUE "a"
"7519" 7012 791.487706944885 35.784615443303 13 791.487705230713 TRUE "a"
"7520" 7012 0 0 0 0 TRUE "a"
"7660" 7145 0 23.4902346872423 9 500.519592285156 TRUE NA
"7896" 7366 266.461698648265 26.2699998855591 10 458.837795257568 TRUE NA
"7897" 7366 175.88151317913 31.9232436092763 13 824.355758666992 TRUE NA
"7898" 7366 36.2548319922857 25.0437417622425 10 556.377426147461 TRUE NA
"7899" 7366 152.819561053276 26.4583331743876 12 604.928909301758 TRUE NA
"7904" 7368 0 25.6545454372059 11 492.961004257202 TRUE "a"
"7905" 7368 112.251396178843 24.6333332061768 9 400.268768310547 TRUE "a"
"7906" 7368 141.352415952895 24 11 470.209522247314 TRUE "a"
"7907" 7368 159.738340587319 22.6090908050537 11 446.92355632782 TRUE "a"
"8413" 7870 0 16.601784534748 7 256.631652832031 TRUE "a"
"8644" 8014 0 28.7142854418073 14 749.99137878418 TRUE "b"
"8645" 8014 0 18.4329337609825 4 150.571329116821 TRUE "b"
"8646" 8014 0 16.72731863643 2 83.6056003570557 TRUE "b"
"8658" 8027 0 28.7999992370605 4 243.316160202026 TRUE NA
"8659" 8027 0 42.2615382854755 13 1145.24026489258 TRUE NA
"8660" 8027 0 30.5333334604899 12 716.985130310059 TRUE NA
"8661" 8027 0 23.439999961853 5 220.730283737183 TRUE NA
"8668" 8035 0 31.5 4 234.164867401123 TRUE NA
"8669" 8035 0 20.4753601294644 2 109.082691192627 TRUE NA
"8670" 8035 0 25.0846154139592 13 583.20392036438 TRUE NA
"8671" 8035 0 30.7242829316681 5 332.780220031738 TRUE NA
"8697" 8046 291.83241006206 21.1999998092651 8 315.544950485229 TRUE NA
"8698" 8046 0 23.7960980159063 9 509.882207870483 TRUE NA
"8699" 8046 0 0 0 0 TRUE NA
"9532" 8698 367.470459603217 18.9599998474121 10 367.470462799072 TRUE "a"
"9628" 8772 98.6802017740774 22.3502966155703 9 375.044666290283 TRUE "a"
"9629" 8772 0 22.2216942547509 8 343.521583557129 TRUE "a"
"9630" 8772 103.951566013312 29.5 8 427.730979919434 TRUE "a"
"9659" 8796 0 18.8571428571429 7 233.252704620361 TRUE "a"
"9660" 8796 43.6856185157694 23.6000003814697 4 175.105808258057 TRUE "a"
"9661" 8796 118.382909530153 18.6714282717024 7 239.629148483276 TRUE "a"
"9731" 8901 0 28.2016272701182 7 453.234880447388 TRUE "a"
"9732" 8901 0 34.3124519517283 8 779.365852355957 TRUE "a"
"9733" 8901 0 28.3285709108625 7 405.250907897949 TRUE "a"
"9770" 8940 0 18 2 60.5051593780518 TRUE "b"
"9771" 8940 204.321597975743 41.4333337148031 6 477.452861785889 TRUE "b"
"9772" 8940 331.938798903066 19.8111110263401 9 331.938800811768 TRUE "b"
"9773" 8940 448.104019395382 23.5200002670288 10 448.104015350342 TRUE "b"
"9897" 9035 305.772680297786 23.2285717555455 7 305.772674560547 TRUE NA
"9898" 9035 95.1093959578616 21.0089887110398 2 95.1093978881836 TRUE NA
"9944" 9121 0 27.5702691155187 9 753.547473907471 TRUE "b"
